"","Gene","Level","count","total","actual.level.50","actual.level.75","actual.level.90","actual.level.100"
"1","ENSG00000000003","High",9,10,"High","High","High",NA
"2","ENSG00000000003","Low",1,10,"High","High","High",NA
"3","ENSG00000000005","High",8,12,"High",NA,NA,NA
"4","ENSG00000000005","Low",4,12,"High",NA,NA,NA
"5","ENSG00000000419","High",11,11,"High","High","High","High"
"6","ENSG00000000419","Low",0,11,"High","High","High","High"
"7","ENSG00000000457","High",2,11,"Low","Low",NA,NA
"8","ENSG00000000457","Low",9,11,"Low","Low",NA,NA
"9","ENSG00000000460","High",3,12,"Low","Low",NA,NA
"10","ENSG00000000460","Low",9,12,"Low","Low",NA,NA
"11","ENSG00000000938","High",1,9,"Low","Low",NA,NA
"12","ENSG00000000938","Low",8,9,"Low","Low",NA,NA
"13","ENSG00000000971","High",0,12,"Low","Low","Low","Low"
"14","ENSG00000000971","Low",12,12,"Low","Low","Low","Low"
"15","ENSG00000001036","High",3,11,"Low",NA,NA,NA
"16","ENSG00000001036","Low",8,11,"Low",NA,NA,NA
"17","ENSG00000001084","High",12,12,"High","High","High","High"
"18","ENSG00000001084","Low",0,12,"High","High","High","High"
"19","ENSG00000001167","High",9,12,"High","High",NA,NA
"20","ENSG00000001167","Low",3,12,"High","High",NA,NA
"21","ENSG00000001461","High",9,12,"High","High",NA,NA
"22","ENSG00000001461","Low",3,12,"High","High",NA,NA
"23","ENSG00000001497","High",7,11,"High",NA,NA,NA
"24","ENSG00000001497","Low",4,11,"High",NA,NA,NA
"25","ENSG00000001561","High",10,11,"High","High","High",NA
"26","ENSG00000001561","Low",1,11,"High","High","High",NA
"27","ENSG00000001617","High",5,12,"Low",NA,NA,NA
"28","ENSG00000001617","Low",7,12,"Low",NA,NA,NA
"29","ENSG00000001626","High",1,11,"Low","Low","Low",NA
"30","ENSG00000001626","Low",10,11,"Low","Low","Low",NA
"31","ENSG00000001629","High",0,12,"Low","Low","Low","Low"
"32","ENSG00000001629","Low",12,12,"Low","Low","Low","Low"
"33","ENSG00000001630","High",0,11,"Low","Low","Low","Low"
"34","ENSG00000001630","Low",11,11,"Low","Low","Low","Low"
"35","ENSG00000001631","High",0,12,"Low","Low","Low","Low"
"36","ENSG00000001631","Low",12,12,"Low","Low","Low","Low"
"37","ENSG00000002330","High",9,10,"High","High","High",NA
"38","ENSG00000002330","Low",1,10,"High","High","High",NA
"39","ENSG00000002549","High",9,12,"High","High",NA,NA
"40","ENSG00000002549","Low",3,12,"High","High",NA,NA
"41","ENSG00000002586","High",2,12,"Low","Low",NA,NA
"42","ENSG00000002586","Low",10,12,"Low","Low",NA,NA
"43","ENSG00000002587","High",0,10,"Low","Low","Low","Low"
"44","ENSG00000002587","Low",10,10,"Low","Low","Low","Low"
"45","ENSG00000002726","High",0,12,"Low","Low","Low","Low"
"46","ENSG00000002726","Low",12,12,"Low","Low","Low","Low"
"47","ENSG00000002745","High",7,12,"High",NA,NA,NA
"48","ENSG00000002745","Low",5,12,"High",NA,NA,NA
"49","ENSG00000002746","High",11,11,"High","High","High","High"
"50","ENSG00000002746","Low",0,11,"High","High","High","High"
"51","ENSG00000002822","High",8,12,"High",NA,NA,NA
"52","ENSG00000002822","Low",4,12,"High",NA,NA,NA
