"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"198","ENSG00000000419","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"675","ENSG00000001084","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1960","ENSG00000002746","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"2280","ENSG00000002933","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"3549","ENSG00000004455","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"3791","ENSG00000004487","liver","bile duct cells","High","APE","Supportive","Low","Low","Low","Low"
"6104","ENSG00000005175","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"10266","ENSG00000006530","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"10989","ENSG00000006695","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"11547","ENSG00000006756","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"12261","ENSG00000007129","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"15039","ENSG00000008196","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"15670","ENSG00000008300","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"16065","ENSG00000008394","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"16458","ENSG00000008517","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"17174","ENSG00000009335","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"18289","ENSG00000010219","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"21709","ENSG00000011405","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"22191","ENSG00000011485","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"22270","ENSG00000011523","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"25937","ENSG00000014824","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"26177","ENSG00000015133","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"31062","ENSG00000022840","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"32729","ENSG00000025293","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"37863","ENSG00000035141","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"38502","ENSG00000036054","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"42087","ENSG00000041802","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"44421","ENSG00000047056","liver","bile duct cells","High","APE","Supportive","Low","Low","Low","Low"
"46741","ENSG00000048544","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"51023","ENSG00000053108","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
