Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0010564~regulation of cell cycle process	11	1.8803418803418803	0.0030461973671469943	ENSG00000127616, ENSG00000134318, ENSG00000100462, ENSG00000158402, ENSG00000099985, ENSG00000128342, ENSG00000097046, ENSG00000132323, ENSG00000011426, ENSG00000137804, ENSG00000167513	386	114	12292	3.072720661758022	0.9584987971718002	0.9584987971718002	4.730562047152109
GOTERM_BP_5	GO:0000279~M phase	21	3.5897435897435894	0.0036257585708882787	ENSG00000100918, ENSG00000137100, ENSG00000163808, ENSG00000148773, ENSG00000121274, ENSG00000145919, ENSG00000186871, ENSG00000176386, ENSG00000170312, ENSG00000141552, ENSG00000185627, ENSG00000158402, ENSG00000133739, ENSG00000125207, ENSG00000117697, ENSG00000183479, ENSG00000105127, ENSG00000011426, ENSG00000152253, ENSG00000137804, ENSG00000198901	386	329	12292	2.032631462903759	0.9773713507672931	0.8495717804642131	5.606499348411475
GOTERM_BP_5	GO:0007067~mitosis	16	2.735042735042735	0.003946606901336152	ENSG00000137100, ENSG00000163808, ENSG00000121274, ENSG00000145919, ENSG00000186871, ENSG00000176386, ENSG00000170312, ENSG00000141552, ENSG00000158402, ENSG00000133739, ENSG00000117697, ENSG00000183479, ENSG00000011426, ENSG00000105127, ENSG00000137804, ENSG00000152253	386	220	12292	2.3159679698539803	0.9838276965542996	0.7471144812980914	6.088171996929481
GOTERM_BP_5	GO:0000087~M phase of mitotic cell cycle	16	2.735042735042735	0.00467249642850361	ENSG00000137100, ENSG00000163808, ENSG00000121274, ENSG00000145919, ENSG00000186871, ENSG00000176386, ENSG00000170312, ENSG00000141552, ENSG00000158402, ENSG00000133739, ENSG00000117697, ENSG00000183479, ENSG00000011426, ENSG00000105127, ENSG00000137804, ENSG00000152253	386	224	12292	2.2746113989637307	0.9924396278947339	0.7051264673467995	7.169425169949594
GOTERM_BP_5	GO:0010942~positive regulation of cell death	24	4.102564102564102	0.009951211700569004	ENSG00000131747, ENSG00000155876, ENSG00000011332, ENSG00000175467, ENSG00000089041, ENSG00000089486, ENSG00000136156, ENSG00000164978, ENSG00000142949, ENSG00000124802, ENSG00000133884, ENSG00000003400, ENSG00000162736, ENSG00000100485, ENSG00000091436, ENSG00000181019, ENSG00000104312, ENSG00000160570, ENSG00000118689, ENSG00000115904, ENSG00000196954, ENSG00000142856, ENSG00000124126, ENSG00000162604	386	435	12292	1.7569412185099158	0.9999704994415238	0.875844475903816	14.688558356905745
GOTERM_BP_5	GO:0043065~positive regulation of apoptosis	23	3.9316239316239314	0.01648837810785979	ENSG00000131747, ENSG00000011332, ENSG00000175467, ENSG00000089486, ENSG00000136156, ENSG00000089041, ENSG00000164978, ENSG00000142949, ENSG00000124802, ENSG00000133884, ENSG00000003400, ENSG00000162736, ENSG00000100485, ENSG00000091436, ENSG00000181019, ENSG00000104312, ENSG00000160570, ENSG00000118689, ENSG00000115904, ENSG00000196954, ENSG00000142856, ENSG00000124126, ENSG00000162604	386	430	12292	1.7033136522472587	0.9999999705547962	0.9444305932005369	23.209759387889196
GOTERM_BP_5	GO:0006259~DNA metabolic process	26	4.444444444444445	0.016669578557292862	ENSG00000101773, ENSG00000100918, ENSG00000169598, ENSG00000131747, ENSG00000112039, ENSG00000116030, ENSG00000097046, ENSG00000139579, ENSG00000166896, ENSG00000111328, ENSG00000167513, ENSG00000121274, ENSG00000137309, ENSG00000079246, ENSG00000205978, ENSG00000088305, ENSG00000158402, ENSG00000221829, ENSG00000130816, ENSG00000163918, ENSG00000076003, ENSG00000183479, ENSG00000152422, ENSG00000132646, ENSG00000122512, ENSG00000165392	386	506	12292	1.6362817178316165	0.9999999757030009	0.9183000472339349	23.434180398478066
GOTERM_BP_5	GO:0043068~positive regulation of programmed cell death	23	3.9316239316239314	0.017704100667891645	ENSG00000131747, ENSG00000011332, ENSG00000175467, ENSG00000089486, ENSG00000136156, ENSG00000089041, ENSG00000164978, ENSG00000142949, ENSG00000124802, ENSG00000133884, ENSG00000003400, ENSG00000162736, ENSG00000100485, ENSG00000091436, ENSG00000181019, ENSG00000104312, ENSG00000160570, ENSG00000118689, ENSG00000115904, ENSG00000196954, ENSG00000142856, ENSG00000124126, ENSG00000162604	386	433	12292	1.6915124029245292	0.9999999918950323	0.9025921603751943	24.703734438363455
GOTERM_BP_5	GO:0033261~regulation of S phase	4	0.6837606837606838	0.023398405396932956	ENSG00000127616, ENSG00000097046, ENSG00000132323, ENSG00000167513	386	20	12292	6.368911917098446	0.9999999999811514	0.9356772979565591	31.34586909730438
GOTERM_BP_5	GO:0015074~DNA integration	4	0.6837606837606838	0.023398405396932956	ENSG00000137309, ENSG00000079246, ENSG00000205978, ENSG00000152422	386	20	12292	6.368911917098446	0.9999999999811514	0.9356772979565591	31.34586909730438
GOTERM_BP_5	GO:0000075~cell cycle checkpoint	8	1.3675213675213675	0.02390726059091735	ENSG00000170312, ENSG00000101773, ENSG00000221829, ENSG00000139579, ENSG00000091436, ENSG00000103264, ENSG00000075711, ENSG00000167513	386	91	12292	2.7995217218015145	0.9999999999890554	0.9198469808288047	31.911891026173823
GOTERM_BP_5	GO:0019047~provirus integration	3	0.5128205128205128	0.02417651109829127	ENSG00000137309, ENSG00000079246, ENSG00000152422	386	8	12292	11.941709844559586	0.9999999999917921	0.9017793210070739	32.20961819671365
GOTERM_BP_5	GO:0051246~regulation of protein metabolic process	26	4.444444444444445	0.03657267916662358	ENSG00000170881, ENSG00000128342, ENSG00000099985, ENSG00000109686, ENSG00000113721, ENSG00000089195, ENSG00000136770, ENSG00000176386, ENSG00000170312, ENSG00000088305, ENSG00000159202, ENSG00000015133, ENSG00000143674, ENSG00000091436, ENSG00000125207, ENSG00000100354, ENSG00000185359, ENSG00000136231, ENSG00000089041, ENSG00000182247, ENSG00000129460, ENSG00000141552, ENSG00000185627, ENSG00000130816, ENSG00000179914, ENSG00000069869	386	546	12292	1.516407599309154	1.0	0.9607718566304885	44.668492034373266
GOTERM_BP_5	GO:0043487~regulation of RNA stability	4	0.6837606837606838	0.03790906143938711	ENSG00000066044, ENSG00000128016, ENSG00000138668, ENSG00000162889	386	24	12292	5.3074265975820385	1.0	0.9549788338932993	45.87513747437987
GOTERM_BP_5	GO:0006886~intracellular protein transport	19	3.2478632478632483	0.04744516681835935	ENSG00000112357, ENSG00000105401, ENSG00000185359, ENSG00000019582, ENSG00000166900, ENSG00000175416, ENSG00000110711, ENSG00000006125, ENSG00000140022, ENSG00000082074, ENSG00000110025, ENSG00000107651, ENSG00000196961, ENSG00000132646, ENSG00000100284, ENSG00000100083, ENSG00000069869, ENSG00000104915, ENSG00000141232	386	374	12292	1.617771743648001	1.0	0.9732512262152521	53.79613371840405
GOTERM_BP_5	GO:0007346~regulation of mitotic cell cycle	10	1.7094017094017095	0.04961863920976824	ENSG00000170312, ENSG00000127616, ENSG00000100462, ENSG00000158402, ENSG00000132323, ENSG00000011426, ENSG00000103264, ENSG00000075711, ENSG00000137804, ENSG00000167513	386	152	12292	2.095036814835015	1.0	0.9709485360807573	55.44261206795555
