From	To	Species	Gene Name
ENSG00000160683	643	Homo sapiens	chemokine (C-X-C motif) receptor 5
ENSG00000186166	338657	Homo sapiens	coiled-coil domain containing 84
ENSG00000067177	646780	Homo sapiens	phosphorylase kinase, alpha 1 pseudogene 1; phosphorylase kinase, alpha 1 (muscle)
ENSG00000067177	5255	Homo sapiens	phosphorylase kinase, alpha 1 pseudogene 1; phosphorylase kinase, alpha 1 (muscle)
ENSG00000169946	23414	Homo sapiens	zinc finger protein, multitype 2
ENSG00000204661	729569	Homo sapiens	hypothetical protein LOC729569
ENSG00000164332	134510	Homo sapiens	ubiquitin-like domain containing CTD phosphatase 1
ENSG00000167800	347853	Homo sapiens	T-box 10
ENSG00000127074	6003	Homo sapiens	regulator of G-protein signaling 13
ENSG00000183495	57634	Homo sapiens	E1A binding protein p400
ENSG00000133884	5977	Homo sapiens	D4, zinc and double PHD fingers family 2
ENSG00000198522	84450	Homo sapiens	zinc finger protein 512
ENSG00000183292	646743	Homo sapiens	similar to mCG22736; similar to testicular serine protease 2
ENSG00000183292	100133051	Homo sapiens	similar to mCG22736; similar to testicular serine protease 2
ENSG00000000003	7105	Homo sapiens	tetraspanin 6
ENSG00000171421	64979	Homo sapiens	mitochondrial ribosomal protein L36
ENSG00000136695	26525	Homo sapiens	interleukin 1 family, member 5 (delta)
ENSG00000128585	4289	Homo sapiens	muskelin 1, intracellular mediator containing kelch motifs
ENSG00000186364	200035	Homo sapiens	nudix (nucleoside diphosphate linked moiety X)-type motif 17
ENSG00000007202	9703	Homo sapiens	KIAA0100
ENSG00000184357	3009	Homo sapiens	histone cluster 1, H1b
ENSG00000136870	7743	Homo sapiens	zinc finger protein 189
ENSG00000034152	5606	Homo sapiens	mitogen-activated protein kinase kinase 3
ENSG00000081721	11266	Homo sapiens	dual specificity phosphatase 12
ENSG00000119681	4053	Homo sapiens	latent transforming growth factor beta binding protein 2
ENSG00000144118	5899	Homo sapiens	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)
ENSG00000144119	165257	Homo sapiens	complement component 1, q subcomponent-like 2
ENSG00000186150	164153	Homo sapiens	ubiquitin-like 4B
ENSG00000156574	4838	Homo sapiens	nodal homolog (mouse)
ENSG00000197150	11194	Homo sapiens	ATP-binding cassette, sub-family B (MDR/TAP), member 8
ENSG00000146374	84870	Homo sapiens	R-spondin 3 homolog (Xenopus laevis)
ENSG00000065243	5586	Homo sapiens	protein kinase N2
ENSG00000184164	79174	Homo sapiens	cysteine-rich with EGF-like domains 2
ENSG00000128708	8520	Homo sapiens	histone acetyltransferase 1
ENSG00000156787	93594	Homo sapiens	WD repeat domain 67
ENSG00000087303	22795	Homo sapiens	nidogen 2 (osteonidogen)
ENSG00000111328	8099	Homo sapiens	cyclin-dependent kinase 2 associated protein 1
ENSG00000126787	9787	Homo sapiens	discs, large (Drosophila) homolog-associated protein 5
ENSG00000156983	7862	Homo sapiens	bromodomain and PHD finger containing, 1
ENSG00000184361	124783	Homo sapiens	chromosome 17 open reading frame 46
ENSG00000106066	54504	Homo sapiens	carboxypeptidase, vitellogenic-like
ENSG00000138231	51163	Homo sapiens	debranching enzyme homolog 1 (S. cerevisiae)
ENSG00000102471	54602	Homo sapiens	Nedd4 family interacting protein 2
ENSG00000104129	55192	Homo sapiens	DnaJ (Hsp40) homolog, subfamily C, member 17
ENSG00000196792	29966	Homo sapiens	striatin, calmodulin binding protein 3
ENSG00000203942	414157	Homo sapiens	chromosome 10 open reading frame 62
ENSG00000011426	54443	Homo sapiens	anillin, actin binding protein
ENSG00000131871	55829	Homo sapiens	selenoprotein S
ENSG00000110274	22897	Homo sapiens	centrosomal protein 164kDa
ENSG00000197124	91120	Homo sapiens	zinc finger protein 682
ENSG00000157212	22976	Homo sapiens	PAX interacting (with transcription-activation domain) protein 1
ENSG00000165730	219736	Homo sapiens	storkhead box 1
ENSG00000117245	57576	Homo sapiens	kinesin family member 17
ENSG00000133193	84923	Homo sapiens	family with sequence similarity 104, member A
ENSG00000081307	79876	Homo sapiens	ubiquitin-like modifier activating enzyme 5
ENSG00000142192	351	Homo sapiens	amyloid beta (A4) precursor protein
ENSG00000113460	55299	Homo sapiens	brix domain containing 2
ENSG00000205108	259308	Homo sapiens	hypothetical protein LOC259308; chromosome 9 open reading frame 144
ENSG00000205108	389715	Homo sapiens	hypothetical protein LOC259308; chromosome 9 open reading frame 144
ENSG00000183943	5613	Homo sapiens	protein kinase, X-linked
ENSG00000133627	57180	Homo sapiens	ARP3 actin-related protein 3 homolog B (yeast)
ENSG00000137804	51203	Homo sapiens	nucleolar and spindle associated protein 1
ENSG00000147130	9203	Homo sapiens	zinc finger, MYM-type 3
ENSG00000127946	3092	Homo sapiens	huntingtin interacting protein 1
ENSG00000067191	782	Homo sapiens	calcium channel, voltage-dependent, beta 1 subunit
ENSG00000156959	375323	Homo sapiens	lipoma HMGIC fusion partner-like 4
ENSG00000141736	2064	Homo sapiens	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
ENSG00000147127	347517	Homo sapiens	RAB41, member RAS oncogene family
ENSG00000170396	91752	Homo sapiens	zinc finger protein 804A
ENSG00000197136	399909	Homo sapiens	pecanex-like 3 (Drosophila)
ENSG00000197859	9719	Homo sapiens	similar to ADAMTS-like 2; ADAMTS-like 2
ENSG00000197859	653348	Homo sapiens	similar to ADAMTS-like 2; ADAMTS-like 2
ENSG00000103353	56061	Homo sapiens	ubiquitin family domain containing 1
ENSG00000130762	27237	Homo sapiens	Rho guanine exchange factor (GEF) 16
ENSG00000126768	10245	Homo sapiens	translocase of inner mitochondrial membrane 17 homolog B (yeast)
ENSG00000126562	65266	Homo sapiens	WNK lysine deficient protein kinase 4
ENSG00000146352	134829	Homo sapiens	retinaldehyde binding protein 1-like 2
ENSG00000176787	119678	Homo sapiens	olfactory receptor, family 52, subfamily E, member 2
ENSG00000054282	10806	Homo sapiens	serologically defined colon cancer antigen 8
ENSG00000184144	6900	Homo sapiens	contactin 2 (axonal)
ENSG00000066427	4287	Homo sapiens	ataxin 3
ENSG00000007866	7005	Homo sapiens	TEA domain family member 3
ENSG00000067596	1659	Homo sapiens	DEAH (Asp-Glu-Ala-His) box polypeptide 8
ENSG00000166869	63928	Homo sapiens	calcineurin B homologous protein 2
ENSG00000040608	65078	Homo sapiens	reticulon 4 receptor
ENSG00000204257	3108	Homo sapiens	major histocompatibility complex, class II, DM alpha
ENSG00000127952	51657	Homo sapiens	serine/threonine/tyrosine interacting-like 1
ENSG00000100167	55964	Homo sapiens	septin 3
ENSG00000130224	57631	Homo sapiens	leucine-rich repeats and calponin homology (CH) domain containing 2
ENSG00000177674	57085	Homo sapiens	angiotensin II receptor-associated protein
ENSG00000184343	26576	Homo sapiens	SFRS protein kinase 3
ENSG00000137815	23168	Homo sapiens	Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)
ENSG00000215012	79680	Homo sapiens	chromosome 22 open reading frame 29
ENSG00000198901	9055	Homo sapiens	protein regulator of cytokinesis 1
ENSG00000167183	79170	Homo sapiens	ATPase family, AAA domain containing 4
