From	To	Species	Gene Name
ENSG00000015676	23386	Homo sapiens	NudC domain containing 3
ENSG00000160683	643	Homo sapiens	chemokine (C-X-C motif) receptor 5
ENSG00000186166	338657	Homo sapiens	coiled-coil domain containing 84
ENSG00000169946	23414	Homo sapiens	zinc finger protein, multitype 2
ENSG00000133884	5977	Homo sapiens	D4, zinc and double PHD fingers family 2
ENSG00000198522	84450	Homo sapiens	zinc finger protein 512
ENSG00000183292	646743	Homo sapiens	similar to mCG22736; similar to testicular serine protease 2
ENSG00000183292	100133051	Homo sapiens	similar to mCG22736; similar to testicular serine protease 2
ENSG00000000003	7105	Homo sapiens	tetraspanin 6
ENSG00000104112	29106	Homo sapiens	secretogranin III
ENSG00000171421	64979	Homo sapiens	mitochondrial ribosomal protein L36
ENSG00000136695	26525	Homo sapiens	interleukin 1 family, member 5 (delta)
ENSG00000167173	56905	Homo sapiens	chromosome 15 open reading frame 39
ENSG00000186364	200035	Homo sapiens	nudix (nucleoside diphosphate linked moiety X)-type motif 17
ENSG00000204669	138240	Homo sapiens	chromosome 9 open reading frame 57
ENSG00000185002	222546	Homo sapiens	regulatory factor X, 6
ENSG00000053702	83714	Homo sapiens	nuclear receptor interacting protein 2
ENSG00000186150	164153	Homo sapiens	ubiquitin-like 4B
ENSG00000196090	11122	Homo sapiens	protein tyrosine phosphatase, receptor type, T
ENSG00000205111	344387	Homo sapiens	cyclin-dependent kinase-like 4
ENSG00000197150	11194	Homo sapiens	ATP-binding cassette, sub-family B (MDR/TAP), member 8
ENSG00000183695	117194	Homo sapiens	MAS-related GPR, member X2
ENSG00000087303	22795	Homo sapiens	nidogen 2 (osteonidogen)
ENSG00000133169	55859	Homo sapiens	brain expressed, X-linked 1
ENSG00000111328	8099	Homo sapiens	cyclin-dependent kinase 2 associated protein 1
ENSG00000152503	55521	Homo sapiens	tripartite motif-containing 36
ENSG00000156983	7862	Homo sapiens	bromodomain and PHD finger containing, 1
ENSG00000184361	124783	Homo sapiens	chromosome 17 open reading frame 46
ENSG00000116649	6723	Homo sapiens	spermidine synthase
ENSG00000138231	51163	Homo sapiens	debranching enzyme homolog 1 (S. cerevisiae)
ENSG00000160472	147744	Homo sapiens	transmembrane protein 190
ENSG00000109101	8456	Homo sapiens	forkhead box N1
ENSG00000053918	3784	Homo sapiens	potassium voltage-gated channel, KQT-like subfamily, member 1
ENSG00000147526	6867	Homo sapiens	transforming, acidic coiled-coil containing protein 1
ENSG00000011426	54443	Homo sapiens	anillin, actin binding protein
ENSG00000180104	11336	Homo sapiens	exocyst complex component 3
ENSG00000198718	23116	Homo sapiens	family with sequence similarity 179, member B
ENSG00000176774	286514	Homo sapiens	melanoma antigen family B, 18
ENSG00000079931	26002	Homo sapiens	monooxygenase, DBH-like 1
ENSG00000103343	7727	Homo sapiens	zinc finger protein 174
ENSG00000136891	54881	Homo sapiens	testis expressed 10
ENSG00000101210	1917	Homo sapiens	eukaryotic translation elongation factor 1 alpha 2
ENSG00000197124	91120	Homo sapiens	zinc finger protein 682
ENSG00000157212	22976	Homo sapiens	PAX interacting (with transcription-activation domain) protein 1
ENSG00000145781	51397	Homo sapiens	COMM domain containing 10
ENSG00000087053	8898	Homo sapiens	myotubularin related protein 2
ENSG00000117245	57576	Homo sapiens	kinesin family member 17
ENSG00000184330	338324	Homo sapiens	S100 calcium binding protein A7A
ENSG00000113460	55299	Homo sapiens	brix domain containing 2
ENSG00000183943	5613	Homo sapiens	protein kinase, X-linked
ENSG00000205108	259308	Homo sapiens	hypothetical protein LOC259308; chromosome 9 open reading frame 144
ENSG00000205108	389715	Homo sapiens	hypothetical protein LOC259308; chromosome 9 open reading frame 144
ENSG00000133627	57180	Homo sapiens	ARP3 actin-related protein 3 homolog B (yeast)
ENSG00000179627	100128927	Homo sapiens	zinc finger and BTB domain containing 42
ENSG00000147130	9203	Homo sapiens	zinc finger, MYM-type 3
ENSG00000137804	51203	Homo sapiens	nucleolar and spindle associated protein 1
ENSG00000167193	1398	Homo sapiens	v-crk sarcoma virus CT10 oncogene homolog (avian)
ENSG00000078177	55728	Homo sapiens	NEDD4 binding protein 2
ENSG00000147127	347517	Homo sapiens	RAB41, member RAS oncogene family
ENSG00000186174	283149	Homo sapiens	B-cell CLL/lymphoma 9-like
ENSG00000184148	163778	Homo sapiens	small proline-rich protein 4
ENSG00000104714	157697	Homo sapiens	glutamate-rich 1
ENSG00000103353	56061	Homo sapiens	ubiquitin family domain containing 1
ENSG00000089818	25977	Homo sapiens	NECAP endocytosis associated 1
ENSG00000126562	65266	Homo sapiens	WNK lysine deficient protein kinase 4
ENSG00000170624	6444	Homo sapiens	sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)
ENSG00000184144	6900	Homo sapiens	contactin 2 (axonal)
ENSG00000179630	144811	Homo sapiens	chromosome 13 open reading frame 31
ENSG00000101407	9675	Homo sapiens	KIAA0406
ENSG00000128594	64101	Homo sapiens	leucine rich repeat containing 4
