Metabolites,Antimetabolites category,Patient 2556,Patient 2766,Patient 2177,Patient 3196,Patient 3477,Patient 2280,,
(R)-5-diphosphomevalonate,Inhibits the growth in All patients,1,1,1,1,1,1,,
(R)-5-phosphomevalonate,Inhibits the growth in All patients,1,1,1,1,1,1,,
(R)-mevalonate,Inhibits the growth in All patients,1,1,1,1,1,1,,
2-methoxy-6-(all-trans-decaprenyl)phenol,Inhibits the growth in All patients,1,1,1,1,1,1,,
"2-methoxy-6-all trans-decaprenyl-2-methoxy-1,4-benzoquinol",Inhibits the growth in All patients,1,1,1,1,1,1,,
"24,25-dihydrolanosterol",Inhibits the growth in All patients,1,1,1,1,1,1,,
"3,4-dihydroxy-5-all-trans-decaprenylbenzoate",Inhibits the growth in All patients,1,1,1,1,1,1,,
3-decaprenyl-4-hydroxybenzoate,Inhibits the growth in All patients,1,1,1,1,1,1,,
3-dehydrosphinganine,Inhibits the growth in All patients,1,1,1,1,1,1,,
3-demethylubiquinol-10,Inhibits the growth in All patients,1,1,1,1,1,1,,
"3-hydroxy-N6,N6,N6-trimethyl-L-lysine",Inhibits the growth in All patients,1,1,1,1,1,1,,
3-methoxy-4-hydroxy-5-all-trans-decaprenylbenzoate,Inhibits the growth in All patients,1,1,1,1,1,1,,
"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol",Inhibits the growth in All patients,1,1,1,1,1,1,,
"4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol",Inhibits the growth in All patients,1,1,1,1,1,1,,
"4,4-dimethyl-5alpha-cholesta-8,14-dien-3-beta-ol",Inhibits the growth in All patients,1,1,1,1,1,1,,
"4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol",Inhibits the growth in All patients,1,1,1,1,1,1,,
4-coumarate,Inhibits the growth in All patients,1,1,1,1,1,1,,
4-coumaroyl-CoA,Inhibits the growth in All patients,1,1,1,1,1,1,,
4-hydroxybenzoate,Inhibits the growth in All patients,1,1,1,1,1,1,,
4-hydroxybenzoyl-CoA,Inhibits the growth in All patients,1,1,1,1,1,1,,
4-hydroxyphenyllactate,Inhibits the growth in All patients,1,1,1,1,1,1,,
4-hydroxyphenylpyruvate,Inhibits the growth in All patients,1,1,1,1,1,1,,
4-trimethylammoniobutanal,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-formyl-5alpha-cholesta-8-en-3beta-ol,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-methyl-5alpha-cholesta-8-en-3-one,Inhibits the growth in All patients,1,1,1,1,1,1,,
4alpha-methyl-cholesta-8-enol,Inhibits the growth in All patients,1,1,1,1,1,1,,
5-aminolevulinate,Inhibits the growth in All patients,1,1,1,1,1,1,,
5alpha-cholesta-8-en-3-one,Inhibits the growth in All patients,1,1,1,1,1,1,,
"6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin",Inhibits the growth in All patients,1,1,1,1,1,1,,
"6-methoxy-3-methyl-2-all-trans-decaprenyl-1,4-benzoquinol",Inhibits the growth in All patients,1,1,1,1,1,1,,
6-pyruvoyltetrahydropterin,Inhibits the growth in All patients,1,1,1,1,1,1,,
CDP-choline,Inhibits the growth in All patients,1,1,1,1,1,1,,
CMP,Inhibits the growth in All patients,1,1,1,1,1,1,,
CTP,Inhibits the growth in All patients,1,1,1,1,1,1,,
FMN,Inhibits the growth in All patients,1,1,1,1,1,1,,
GMP,Inhibits the growth in All patients,1,1,1,1,1,1,,
HMG-CoA,Inhibits the growth in All patients,1,1,1,1,1,1,,
IMP,Inhibits the growth in All patients,1,1,1,1,1,1,,
L-cystathionine,Inhibits the growth in All patients,1,1,1,1,1,1,,
L-carnitine,Inhibits the growth in All patients,1,1,1,1,1,1,,
SAH,Inhibits the growth in All patients,1,1,1,1,1,1,,
SAM,Inhibits the growth in All patients,1,1,1,1,1,1,,
adenylosuccinate,Inhibits the growth in All patients,1,1,1,1,1,1,,
all-trans-decaprenyl-diphosphate,Inhibits the growth in All patients,1,1,1,1,1,1,,
aquacob(III)alamin,Inhibits the growth in All patients,1,1,1,1,1,1,,
aspartate,Inhibits the growth in All patients,1,1,1,1,1,1,,
cholestenol,Inhibits the growth in All patients,1,1,1,1,1,1,,
cholesterol,Inhibits the growth in All patients,1,1,1,1,1,1,,
choline,Inhibits the growth in All patients,1,1,1,1,1,1,,
cob(I)alamin,Inhibits the growth in All patients,1,1,1,1,1,1,,
cob(II)alamin,Inhibits the growth in All patients,1,1,1,1,1,1,,
coproporphyrinogen III,Inhibits the growth in All patients,1,1,1,1,1,1,,
dATP,Inhibits the growth in All patients,1,1,1,1,1,1,,
dCTP,Inhibits the growth in All patients,1,1,1,1,1,1,,
dGTP,Inhibits the growth in All patients,1,1,1,1,1,1,,
dTDP,Inhibits the growth in All patients,1,1,1,1,1,1,,
dTMP,Inhibits the growth in All patients,1,1,1,1,1,1,,
dTTP,Inhibits the growth in All patients,1,1,1,1,1,1,,
dephospho-CoA,Inhibits the growth in All patients,1,1,1,1,1,1,,
dimethylallyl-PP,Inhibits the growth in All patients,1,1,1,1,1,1,,
ethanolamine-phosphate,Inhibits the growth in All patients,1,1,1,1,1,1,,
farnesyl-PP,Inhibits the growth in All patients,1,1,1,1,1,1,,
formate,Inhibits the growth in All patients,1,1,1,1,1,1,,
gamma-butyrobetaine,Inhibits the growth in All patients,1,1,1,1,1,1,,
geranyl-PP,Inhibits the growth in All patients,1,1,1,1,1,1,,
glycine,Inhibits the growth in All patients,1,1,1,1,1,1,,
heme,Inhibits the growth in All patients,1,1,1,1,1,1,,
homocysteine,Inhibits the growth in All patients,1,1,1,1,1,1,,
hydroxymethylbilane,Inhibits the growth in All patients,1,1,1,1,1,1,,
inositol,Inhibits the growth in All patients,1,1,1,1,1,1,,
isopentenyl-pPP,Inhibits the growth in All patients,1,1,1,1,1,1,,
lanosterol,Inhibits the growth in All patients,1,1,1,1,1,1,,
lathosterol,Inhibits the growth in All patients,1,1,1,1,1,1,,
lipoic acid,Inhibits the growth in All patients,1,1,1,1,1,1,,
lipoyl-AMP,Inhibits the growth in All patients,1,1,1,1,1,1,,
lysine,Inhibits the growth in All patients,1,1,1,1,1,1,,
methionine,Inhibits the growth in All patients,1,1,1,1,1,1,,
nicotinamide D-ribonucleotide,Inhibits the growth in All patients,1,1,1,1,1,1,,
pantothenate,Inhibits the growth in All patients,1,1,1,1,1,1,,
phosphocholine,Inhibits the growth in All patients,1,1,1,1,1,1,,
porphobilinogen,Inhibits the growth in All patients,1,1,1,1,1,1,,
presqualene-PP,Inhibits the growth in All patients,1,1,1,1,1,1,,
protoporphyrin,Inhibits the growth in All patients,1,1,1,1,1,1,,
protoporphyrinogen IX,Inhibits the growth in All patients,1,1,1,1,1,1,,
provitamin D3,Inhibits the growth in All patients,1,1,1,1,1,1,,
riboflavin,Inhibits the growth in All patients,1,1,1,1,1,1,,
sphinganine,Inhibits the growth in All patients,1,1,1,1,1,1,,
squalene,Inhibits the growth in All patients,1,1,1,1,1,1,,
"squalene 2,3-oxide",Inhibits the growth in All patients,1,1,1,1,1,1,,
tyrosine,Inhibits the growth in All patients,1,1,1,1,1,1,,
uroporphyrinogen III,Inhibits the growth in All patients,1,1,1,1,1,1,,
xanthosine-5-phosphate,Inhibits the growth in All patients,1,1,1,1,1,1,,
dihydrofolate,Inhibits the growth in All patients,1,1,1,1,1,1,,
folate,Inhibits the growth in All patients,1,1,1,1,1,1,,
adenosine,Inhibits the growth in All patients,1,1,1,1,1,1,,
PRPP,Inhibits the growth in All patients,1,1,1,1,1,1,,
10-formyl-THF,Inhibits the growth in Some patients,0,0,0,0,0,1,,
10-formyl-THF-glu(5),Inhibits the growth in Some patients,0,0,0,0,0,1,,
10-formyl-THF-glu(6),Inhibits the growth in Some patients,0,0,0,0,0,1,,
10-formyl-THF-glu(7),Inhibits the growth in Some patients,0,0,0,0,0,1,,
"17beta-estradiol-3,4-semiquinone",Inhibits the growth in Some patients,0,0,0,0,0,1,,
2-oxoglutaramate,Inhibits the growth in Some patients,0,0,1,0,0,1,,
3-hydroxy-L-kynurenine,Inhibits the growth in Some patients,0,0,0,0,0,1,,
3-hydroxyanthranilate,Inhibits the growth in Some patients,0,0,0,0,0,1,,
4-aminobutanal,Inhibits the growth in Some patients,0,1,0,0,1,0,,
4-hydroxy-17beta-estradiol,Inhibits the growth in Some patients,0,0,0,0,0,1,,
"5,10-methenyl-THF",Inhibits the growth in Some patients,0,0,0,0,0,1,,
"5,10-methylene-THF",Inhibits the growth in Some patients,0,0,1,1,0,1,,
D-xylulose,Inhibits the growth in Some patients,0,0,1,1,0,1,,
D-xylulose-1-phosphate,Inhibits the growth in Some patients,0,0,1,1,0,1,,
L-2-amino-3-oxobutanoic acid,Inhibits the growth in Some patients,0,0,0,1,0,0,,
L-formylkynurenine,Inhibits the growth in Some patients,0,0,0,0,0,1,,
N-carbamoyl-L-aspartate,Inhibits the growth in Some patients,0,0,1,1,1,0,,
acylglycerone-phosphate,Inhibits the growth in Some patients,0,1,0,0,0,0,,
alanine,Inhibits the growth in Some patients,0,0,1,1,0,1,,
aminoacetone,Inhibits the growth in Some patients,0,0,0,1,0,0,,
carbamoyl-phosphate,Inhibits the growth in Some patients,0,0,1,1,1,0,,
cysteine,Inhibits the growth in Some patients,1,1,1,1,0,0,,
deamido-NAD,Inhibits the growth in Some patients,1,1,1,0,1,0,,
ethanolamine,Inhibits the growth in Some patients,1,1,1,0,0,0,,
glutamine,Inhibits the growth in Some patients,1,0,1,1,1,1,,
glutathionyl-leukotriene C4,Inhibits the growth in Some patients,0,0,0,0,1,0,,
glycerol,Inhibits the growth in Some patients,0,0,0,0,0,1,,
glycolaldehyde,Inhibits the growth in Some patients,0,0,1,1,0,1,,
glycolate,Inhibits the growth in Some patients,0,0,1,1,0,1,,
glyoxalate,Inhibits the growth in Some patients,0,0,1,1,0,1,,
hexadecanal,Inhibits the growth in Some patients,0,0,0,0,0,1,,
hexadecenal,Inhibits the growth in Some patients,0,0,0,0,0,1,,
