GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000000460,Moderate,Moderate,Negative,Moderate,Strong,Moderate
ENSG00000000971,Strong,Strong,Moderate,Negative,Moderate,Weak
ENSG00000001036,Moderate,Strong,Weak,Moderate,Weak,Moderate
ENSG00000001084,Strong,Moderate,Strong,Moderate,Strong,Moderate
ENSG00000001167,Negative,Weak,Negative,Weak,Moderate,Moderate
ENSG00000001460,Negative,Moderate,Weak,Negative,Weak,Negative
ENSG00000001617,Negative,Strong,Moderate,Weak,Negative,Negative
ENSG00000001626,Negative,Moderate,Negative,Weak,Negative,Weak
ENSG00000001629,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000001631,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000002549,Strong,Strong,Strong,Strong,Strong,Moderate
ENSG00000002745,Negative,Weak,Negative,Moderate,Moderate,Negative
ENSG00000003056,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000003147,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000003402,Moderate,Strong,Strong,Negative,Weak,Strong
ENSG00000003436,Weak,Strong,Weak,Strong,Negative,Weak
ENSG00000003756,Moderate,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000004139,Negative,Weak,Weak,Weak,Negative,Weak
ENSG00000004468,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000004534,Weak,Strong,Negative,Weak,Moderate,Weak
ENSG00000004660,Weak,Moderate,Weak,Moderate,Negative,Negative
ENSG00000004700,Weak,Negative,Weak,Moderate,Negative,Negative
ENSG00000004766,Negative,Weak,Negative,Weak,Weak,Weak
ENSG00000004776,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000004777,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000004846,Moderate,Moderate,Strong,Strong,Strong,Moderate
ENSG00000004864,Strong,Strong,Moderate,Moderate,Strong,Strong
ENSG00000004897,Negative,Moderate,Weak,Strong,Strong,Negative
ENSG00000004948,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000004975,Strong,Moderate,Moderate,Strong,Strong,Strong
