Metabolite Names in HMR database,Tasks failed in healthy cells,Subsystems of Antimetabolites in HMR database,Enzymes,Category,Explanations,References,
"3-hydroxy-N6,N6,N6-trimethyl-L-lysine",0,Carnitine metabolism,See HMR database,AM developed for other conditions than cancer,"l-aminocarnitine (L-AC), a carnitine analog was used for inhibiting fatty acid oxidation (FAO). L-AC inhibits carnitine palmitoyltransferase (CPT) with different sensitivities towards CPT1 and CPT2, as well as carnitine acylcarnitine translocase (CACT). ",PMID:18077198,
4-trimethylammoniobutanal,0,Carnitine metabolism,See HMR database,AM developed for other conditions than cancer,"l-aminocarnitine (L-AC), a carnitine analog was used for inhibiting fatty acid oxidation (FAO). L-AC inhibits carnitine palmitoyltransferase (CPT) with different sensitivities towards CPT1 and CPT2, as well as carnitine acylcarnitine translocase (CACT). ",PMID:18077198,
gamma-butyrobetaine,0,Carnitine metabolism,See HMR database,AM developed for other conditions than cancer,"l-aminocarnitine (L-AC), a carnitine analog was used for inhibiting fatty acid oxidation (FAO). L-AC inhibits carnitine palmitoyltransferase (CPT) with different sensitivities towards CPT1 and CPT2, as well as carnitine acylcarnitine translocase (CACT). ",PMID:18077198,
L-carnitine,886,Carnitine metabolism,See HMR database,AM developed for other conditions than cancer,"l-aminocarnitine (L-AC), a carnitine analog was used for inhibiting fatty acid oxidation (FAO). L-AC inhibits carnitine palmitoyltransferase (CPT) with different sensitivities towards CPT1 and CPT2, as well as carnitine acylcarnitine translocase (CACT). ",PMID:18077198,
"6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin",489,Biopterin metabolism,(ENSG00000150787);(ENSG00000162551;ENSG00000163283;ENSG00000163286;ENSG00000163295),"Same enzymes targeted, but with other AM","Reactant in 6-pyruvoyltetrahydropterin synthase, which is the second step of Tetrahydrobiopterin (BH4) biosynthesis. It is synthesized from GTP, but GTP is not identified as a suitable AM due to large side effects (however, AMs for that enzyme have shown a moderated effect on cancer growth in vitro, but it might be because non-specific effects (PMID:1544933). The pathway from MET to BH4 has been shown to decrease tumor angiogenesis upon blocking, and has been suggested as drug targets (PMID:20847284)",PMID:1544933;PMID:20847284,
6-pyruvoyltetrahydropterin,489,Biopterin metabolism,ENSG00000116096,Used as AM,"Reactant in  sepiapterin reductase, which is the third and last step of BH4 biosynthesis. AMs developed, but no reduction in cancer growth was seen in vitro (PMID:1544933). ",PMID:1544933,
HMG-CoA,186,Cholesterol biosynthesis,(ENSG00000113161);(ENSG00000117305;ENSG00000146151),"Same enzymes targeted, but not with AM",The rate limiting enzyme HMGCR that catalyze the reduction of Hydroxy-Methyl-Glutaryl-CoenzymeA (HMGCoA) to mevalonate is proposed for the treament of the HCC through the use of statins (PMID:22849701).,PMID:22849701,
(R)-mevalonate,166,Cholesterol biosynthesis,ENSG00000110921,"Same enzymes targeted, but not with AM",Several investigators have suggested the involvement of (Mevalonate kinase) MVK and mevalonate 5-diphosphate decarboxylase (MDD) as important regulatory steps in the biosynthesis of cholesterol (PMID: 16524256). ,PMID:16524256,
(R)-5-phosphomevalonate,166,Cholesterol biosynthesis,ENSG00000163344,Activity correlates with cancer progression,Gene expression analysis in human gastric cancer cell line treated with trichostatin A and S-adenosyl-L-homocysteine have shown that the expression of phosphomevalonate kinase (PMVK) is decreased (PMID:15467184).,PMID:15467184,
(R)-5-diphosphomevalonate,166,Cholesterol biosynthesis,ENSG00000167508,"Same enzymes targeted, but not with AM","6-fluoromevalonate (Fmev), an inhibitor of diphospho mevalonate decarboxylase, blocked the synthesis of downstream mevalonate products, including prenyl-derived lipids, and prevented membrane
localization of Ras in the myeloid cell line U.937 (PMID:9270019). Fmev completely prevented the proliferation of U.937 cells.",PMID:9270019;PMID:16524256,
isopentenyl-pPP,166,Cholesterol biosynthesis,(ENSG00000117682);(ENSG00000067064;ENSG00000148377);(ENSG00000148459;ENSG00000164494);(ENSG00000152904;ENSG00000160752;ENSG00000231087),"Same enzymes targeted, but not with AM",The inhibition of geranylgeranyl diphosphate synthase induces apoptosis in K562 leukemia cells. This induction of apoptosis is in part dependent upon both geranylgeranyl diphosphate depletion and accumulation of farnesyl diphosphate.,PMID:18083912,
geranyl-PP,166,Cholesterol biosynthesis,ENSG00000152904;ENSG00000160752;ENSG00000231087,"Same enzymes targeted, but not with AM","Nitrogen-containing bisphosphonates, including zoledronic acid, act by inhibiting farnesyl pyrophosphate synthase (FPPS), one of the key enzymes of the intracellular mevalonate pathway (PMID:10527849). This leads to a loss of prenylated small signaling proteins (Rho, Ras), and consequently, apoptosis in cancer cells  (PMID:10385693,PMID:15332174).","PMID:10385693,PMID:15332174;PMID:15713990",
dimethylallyl-PP,166,Cholesterol biosynthesis,ENSG00000152904;ENSG00000160752;ENSG00000231087,"Same enzymes targeted, but not with AM","Nitrogen-containing bisphosphonates, including zoledronic acid, act by inhibiting farnesyl pyrophosphate synthase (FPPS), one of the key enzymes of the intracellular mevalonate pathway (PMID:10527849). This leads to a loss of prenylated small signaling proteins (Rho, Ras), and consequently, apoptosis in cancer cells (PMID:10385693,PMID:15332174).","PMID:10385693,PMID:15332174;PMID:15713990",
