Category,Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
,,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count
GOTERM_BP_5,cellular protein metabolic process,0.00000048,479,0.000027,445,0.000000062,572,0.00000022,413,0.00000078,525,0.00018,462,0.000017,426
GOTERM_BP_5,anti-apoptosis,0.0004,55,0.0024,50,0.000073,66,0.022,41,0.0046,55,0.0003,56,0.0068,46
GOTERM_BP_5,protein modification process,0.0048,281,0.011,265,0.000023,355,0.00012,254,0.00064,319,0.012,280,0.012,252
GOTERM_BP_5,phosphorylation,0.0037,164,0.0041,157,0.0017,196,0.000015,156,0.0017,183,0.0077,163,0.0015,153
GOTERM_BP_5,carboxylic acid metabolic process,0.00000034,140,1.5E-09,144,0.0000022,158,0.000000072,125,0.000018,144,0.00000014,143,0.000000045,133
GOTERM_BP_5,cellular protein complex assembly,0.044,37,0.083,34,0.067,42,0.11,30,0.00024,50,0.076,36,0.07,33
GOTERM_BP_5,coenzyme biosynthetic process,0.0000024,29,0.00011,25,0.0000096,31,0.014,18,0.0027,24,0.0018,23,0.001,22
GOTERM_BP_5,regulation of translation,0.00021,41,0.00071,38,0.00034,46,0.044,28,0.018,37,0.000058,43,0.013,32
GOTERM_BP_5,neuron migration,0.016,19,0.0044,20,0.0004,26,0.0064,18,0.0049,22,0.0037,21,0.028,17
GOTERM_BP_5,regulation of programmed cell death,0.0039,166,0.000085,171,0.000016,213,0.00033,150,0.00032,191,0.00024,177,0.0022,154
GOTERM_BP_5,carboxylic acid catabolic process,0.000096,36,0.00000021,41,0.000032,42,0.000006,35,0.00016,38,0.0000011,41,0.0000041,37
GOTERM_BP_5,regulation of apoptosis,0.0062,163,0.00015,168,0.000025,210,0.00044,148,0.00049,188,0.00039,174,0.0035,151
GOTERM_BP_5,mRNA transport,0.015,24,0.057,21,0.0013,31,0.017,21,0.0077,27,0.0021,27,0.019,22
GOTERM_BP_5,protein polymerization,0.19,12,0.083,13,0.056,16,0.077,12,0.00081,20,1,#N/A,1,#N/A
GOTERM_BP_5,fatty acid catabolic process,0.0013,15,0.0000022,19,0.00025,18,0.000002,18,0.000021,19,0.000026,18,0.00047,15
GOTERM_BP_5,serine family amino acid metabolic process,0.0019,12,0.0003,13,0.00067,14,0.0019,11,0.0013,13,0.00011,14,0.00083,12
GOTERM_BP_5,negative regulation of programmed cell death,0.0018,83,0.00066,82,0.000064,104,0.014,67,0.0048,88,0.00027,88,0.0022,76
GOTERM_BP_5,negative regulation of cell death,0.0019,83,0.00073,82,0.000072,104,0.015,67,0.0052,88,0.0003,88,0.0023,76
GOTERM_BP_5,cellular lipid catabolic process,0.0011,25,0.0000085,29,0.00058,29,0.000026,26,0.000055,30,0.00021,27,0.0016,23
GOTERM_BP_5,negative regulation of apoptosis,0.0027,81,0.0011,80,0.000094,102,0.015,66,0.0068,86,0.00043,86,0.0035,74
