Category,GO BP Term,Hepatocytes,.,Patient 2177,..,Patient 2280,...,Patient 2556,....,Patient 2766,.....,Patient 3196,......,Patient 3477,.......
,,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count,P-Value,Gene Count
GOTERM_BP_5,protein modification process,8.30E-07,774,9.70E-08,769,2.00E-17,939,2.10E-10,702,2.10E-10,879,1.90E-09,803,5.10E-09,767
GOTERM_BP_5,cellular protein metabolic process,2.30E-14,1279,8.20E-15,1262,5.70E-27,1512,1.50E-17,1137,2.30E-20,1440,1.80E-16,1307,2.20E-19,1268
GOTERM_BP_5,phosphorylation,1.90E-07,449,3.00E-07,441,7.00E-12,528,5.10E-13,423,3.50E-09,502,6.20E-08,457,7.20E-09,444
GOTERM_BP_5,regulation of programmed cell death,1.10E-02,417,6.00E-04,423,5.90E-09,521,2.80E-04,378,1.30E-03,471,4.00E-03,427,9.00E-04,415
GOTERM_BP_5,regulation of apoptosis,1.30E-02,412,6.10E-04,419,1.00E-08,515,3.30E-04,374,1.20E-03,467,4.00E-03,423,9.30E-04,411
GOTERM_BP_5,regulation of protein metabolic process,5.00E-05,304,9.70E-09,319,1.10E-07,357,1.00E-06,277,3.00E-05,335,1.90E-07,321,1.50E-06,304
GOTERM_BP_5,regulation of signal transduction,2.30E-03,457,1.80E-02,439,1.00E-04,532,4.20E-04,405,2.30E-02,493,1.30E-03,465,7.30E-03,437
GOTERM_BP_5,regulation of cellular protein metabolic process,6.60E-06,272,3.50E-08,279,3.00E-07,312,1.10E-06,244,6.70E-05,292,1.60E-07,283,1.30E-06,268
GOTERM_BP_5,carboxylic acid metabolic process,1.30E-15,355,2.40E-17,355,4.10E-13,385,2.20E-15,317,1.60E-12,374,3.80E-15,357,1.90E-16,349
GOTERM_BP_5,intracellular signaling cascade,2.90E-02,627,2.30E-03,632,2.30E-07,769,4.90E-04,566,8.40E-03,704,7.90E-02,627,2.70E-02,607
GOTERM_BP_5,negative regulation of protein modification process,8.90E-05,78,8.10E-06,80,8.30E-06,89,1.50E-06,75,3.90E-06,88,3.40E-05,80,2.00E-05,78
GOTERM_BP_5,negative regulation of programmed cell death,3.60E-02,188,1.30E-02,189,2.80E-05,234,1.00E-01,159,6.40E-02,205,3.00E-02,191,4.10E-03,190
GOTERM_BP_5,positive regulation of cell death,1.40E-01,218,2.60E-03,232,1.90E-06,285,4.00E-03,205,7.00E-03,256,3.10E-02,229,4.80E-02,217
GOTERM_BP_5,regulation of kinase activity,2.20E-02,189,7.10E-03,190,3.20E-03,221,7.00E-02,160,1.10E-01,201,1.10E-02,194,8.80E-02,177
GOTERM_BP_5,regulation of protein modification process,2.30E-03,165,1.30E-05,174,4.30E-04,190,6.50E-06,158,1.90E-04,187,6.70E-04,170,3.30E-04,165
GOTERM_BP_5,intracellular protein transport,3.50E-06,221,6.90E-09,229,2.60E-10,263,3.80E-09,208,3.80E-09,253,1.00E-07,230,2.40E-07,220
GOTERM_BP_5,positive regulation of programmed cell death,1.40E-01,217,2.60E-03,231,1.70E-06,284,4.10E-03,204,6.80E-03,255,3.10E-02,228,4.90E-02,216
GOTERM_BP_5,regulation of phosphate metabolic process,3.70E-02,250,1.20E-02,251,1.80E-02,288,1.00E-01,212,1.40E-01,269,3.80E-02,253,1.30E-01,235
GOTERM_BP_5,regulation of phosphorus metabolic process,3.70E-02,250,1.20E-02,251,1.80E-02,288,1.00E-01,212,1.40E-01,269,3.80E-02,253,1.30E-01,235
GOTERM_BP_5,negative regulation of apoptosis,3.20E-02,186,1.50E-02,186,4.50E-05,230,9.90E-02,157,5.50E-02,203,2.70E-02,189,4.80E-03,187
GOTERM_BP_5,negative regulation of cell death,4.00E-02,188,1.40E-02,189,3.70E-05,234,1.10E-01,159,7.20E-02,205,3.40E-02,191,4.70E-03,190
GOTERM_BP_5,positive regulation of apoptosis,1.80E-01,214,3.10E-03,229,3.00E-06,281,6.70E-03,201,9.70E-03,252,4.30E-02,225,5.50E-02,214
GOTERM_BP_5,negative regulation of protein metabolic process,9.20E-04,111,5.60E-06,118,1.70E-07,137,7.40E-05,103,1.00E-04,125,9.40E-06,120,1.00E-04,112
GOTERM_BP_5,protein kinase cascade,1.90E-02,196,1.80E-02,193,2.00E-04,236,2.50E-02,170,7.90E-02,210,1.60E-02,199,8.30E-03,193
GOTERM_BP_5,negative regulation of cellular protein metabolic process,6.30E-04,108,1.30E-05,113,4.80E-08,134,1.70E-05,102,9.40E-05,121,5.00E-06,117,3.60E-05,110
GOTERM_BP_5,regulation of small GTPase mediated signal transduction,9.30E-02,131,6.20E-01,116,6.50E-03,158,1.80E-01,111,2.40E-01,140,1.30E-01,131,4.70E-01,117
GOTERM_BP_5,mitosis,2.70E-01,110,2.70E-04,129,6.20E-05,149,2.60E-02,105,1.00E-03,140,4.60E-03,126,4.60E-03,121
GOTERM_BP_5,regulation of ubiquitin-protein ligase activity,4.10E-04,53,1.50E-06,58,3.10E-05,61,2.80E-06,53,4.40E-04,57,1.50E-05,57,2.10E-05,55
GOTERM_BP_5,M phase of mitotic cell cycle,3.60E-01,110,4.60E-04,130,7.90E-05,151,3.20E-02,106,1.20E-03,142,7.10E-03,127,6.80E-03,122
GOTERM_BP_5,positive regulation of protein metabolic process,1.70E-03,139,1.60E-03,137,5.90E-03,153,1.60E-05,132,1.20E-03,153,2.20E-04,145,1.70E-04,140
GOTERM_BP_5,protein oligomerization,4.20E-03,101,7.70E-05,107,1.10E-04,120,3.90E-04,94,1.20E-04,117,3.50E-04,107,8.40E-06,109
GOTERM_BP_5,protein transport,5.00E-07,427,8.70E-08,425,2.20E-07,483,4.00E-08,382,5.70E-07,468,7.00E-07,431,1.10E-05,406
GOTERM_BP_5,positive regulation of ligase activity,1.90E-04,51,4.80E-06,54,7.00E-06,59,1.30E-06,51,1.60E-04,55,5.00E-06,55,2.40E-05,52
GOTERM_BP_5,negative regulation of cell proliferation,6.70E-01,168,8.10E-01,161,1.90E-01,206,7.80E-01,141,6.20E-01,189,8.20E-01,166,8.10E-01,158
GOTERM_BP_5,anti-apoptosis,2.30E-02,113,2.50E-02,111,4.50E-05,141,1.30E-01,93,2.10E-01,116,2.60E-02,114,5.30E-02,107
GOTERM_BP_5,M phase,5.40E-01,156,7.40E-03,176,9.70E-04,208,8.80E-02,147,1.20E-02,195,9.20E-02,171,1.00E-01,163
GOTERM_BP_5,RNA processing,6.20E-09,325,2.30E-07,313,1.20E-08,362,1.20E-03,258,1.50E-11,365,5.90E-08,324,7.90E-10,320
GOTERM_BP_5,vasculature development,1.90E-01,127,8.00E-02,129,3.70E-02,152,2.00E-01,110,1.50E-01,142,7.60E-02,133,3.10E-01,120
GOTERM_BP_5,positive regulation of cellular protein metabolic process,3.50E-03,132,3.50E-03,130,9.10E-03,146,5.90E-05,125,2.00E-03,146,7.80E-04,137,6.80E-04,132
GOTERM_BP_5,positive regulation of ubiquitin-protein ligase activity during mitotic cell cycle,2.10E-04,48,1.50E-05,50,4.70E-05,54,5.80E-06,47,3.50E-04,51,1.50E-05,51,7.50E-05,48
GOTERM_BP_5,negative regulation of ligase activity,1.20E-04,48,2.40E-06,51,6.60E-06,55,9.00E-07,48,6.70E-05,52,7.30E-06,51,4.40E-06,50
GOTERM_BP_5,induction of programmed cell death,4.60E-01,154,6.30E-02,164,8.60E-05,209,1.10E-02,152,3.30E-02,187,6.00E-02,169,2.50E-01,154
GOTERM_BP_5,posttranscriptional regulation of gene expression,1.40E-02,117,3.50E-05,128,2.50E-05,145,3.60E-02,100,1.20E-02,129,3.10E-06,135,3.80E-04,122
GOTERM_BP_5,positive regulation of transferase activity,1.50E-01,123,5.70E-02,125,2.50E-02,147,1.40E-01,107,1.80E-01,135,8.50E-02,127,4.00E-01,113
GOTERM_BP_5,mRNA metabolic process,7.00E-07,222,1.20E-08,226,1.10E-06,247,6.50E-03,175,6.50E-07,242,4.90E-07,225,5.30E-06,212
GOTERM_BP_5,negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle,1.00E-04,47,6.20E-06,49,4.10E-06,54,7.90E-07,47,4.90E-05,51,5.50E-06,50,3.50E-06,49
GOTERM_BP_5,fatty acid metabolic process,1.60E-05,124,3.00E-08,131,8.80E-05,135,2.10E-07,117,2.30E-05,134,5.20E-06,127,7.50E-06,122
GOTERM_BP_5,blood vessel development,1.60E-01,125,8.20E-02,126,4.40E-02,148,2.10E-01,107,2.10E-01,137,9.60E-02,129,3.20E-01,117
GOTERM_BP_5,protein targeting,3.00E-04,128,1.10E-05,132,1.30E-06,152,8.10E-05,116,2.40E-04,140,2.40E-03,125,1.40E-04,126
GOTERM_BP_5,actin filament organization,9.90E-01,25,7.60E-01,32,7.40E-01,38,6.60E-01,29,5.50E-01,39,2.40E-01,39,5.30E-01,34
GOTERM_BP_5,protein catabolic process,5.70E-04,335,2.20E-06,346,4.50E-07,399,1.70E-05,304,2.10E-05,379,8.90E-05,345,2.30E-06,341
GOTERM_BP_5,proteolysis,5.70E-03,539,5.10E-05,551,3.80E-04,627,6.00E-04,479,8.40E-04,606,8.80E-04,555,3.60E-04,535
GOTERM_BP_5,carboxylic acid catabolic process,2.60E-07,80,1.90E-11,87,1.20E-07,88,7.30E-10,78,3.70E-06,83,1.40E-10,87,3.50E-10,84
GOTERM_BP_5,regulation of protein catabolic process,5.00E-02,32,2.00E-02,33,4.40E-03,39,9.40E-03,31,1.30E-01,33,1.70E-02,34,3.20E-03,35
GOTERM_BP_5,striated muscle cell development,8.70E-01,22,4.60E-01,26,5.90E-01,29,9.10E-01,18,4.40E-02,35,6.50E-01,25,8.80E-01,21
GOTERM_BP_5,cellular protein catabolic process,3.60E-04,327,7.30E-07,339,1.70E-07,390,2.00E-05,295,5.10E-06,372,4.90E-05,337,1.20E-06,333
GOTERM_BP_5,mRNA processing,6.20E-07,196,9.80E-09,200,7.60E-07,218,1.10E-02,152,2.10E-07,215,1.90E-06,196,8.30E-06,186
GOTERM_BP_5,nucleoside phosphate metabolic process,5.80E-06,177,7.60E-03,158,8.40E-03,181,1.20E-03,146,3.80E-02,171,1.60E-02,160,4.90E-03,157
GOTERM_BP_5,RNA metabolic process,3.30E-07,518,1.30E-06,506,4.30E-08,590,6.80E-03,418,1.10E-08,578,3.50E-06,517,4.80E-08,508
GOTERM_BP_5,enzyme linked receptor protein signaling pathway,2.30E-01,170,1.20E-01,171,5.70E-04,217,2.60E-01,146,9.10E-02,194,2.00E-02,184,5.00E-03,181
GOTERM_BP_5,positive regulation of cell communication,5.00E-01,157,4.20E-01,156,2.40E-01,187,4.60E-02,150,3.70E-01,178,1.60E-01,168,4.40E-01,153
GOTERM_BP_5,blood vessel morphogenesis,1.70E-01,108,9.20E-02,109,8.90E-02,126,2.50E-01,92,1.90E-01,119,1.50E-01,110,3.80E-01,100
GOTERM_BP_5,cellular protein complex assembly,2.70E-01,82,5.10E-02,87,9.30E-02,98,1.80E-01,73,2.10E-04,109,8.00E-02,88,4.70E-02,86
GOTERM_BP_5,modification-dependent macromolecule catabolic process,2.10E-04,314,1.20E-06,323,2.40E-07,372,2.10E-05,282,2.80E-06,357,3.50E-05,323,2.30E-06,317
GOTERM_BP_5,regulation of intracellular transport,3.20E-01,37,5.40E-01,34,3.30E-01,42,7.10E-01,28,8.30E-01,35,4.50E-01,36,3.10E-01,36
GOTERM_BP_5,negative regulation of phosphate metabolic process,2.40E-02,31,3.60E-02,30,2.50E-01,30,1.90E-01,24,1.10E-01,31,1.60E-01,28,3.20E-01,25
GOTERM_BP_5,negative regulation of phosphorus metabolic process,2.40E-02,31,3.60E-02,30,2.50E-01,30,1.90E-01,24,1.10E-01,31,1.60E-01,28,3.20E-01,25
GOTERM_BP_5,negative regulation of macromolecule metabolic process,1.20E-01,364,1.10E-01,358,6.30E-04,443,2.10E-02,326,2.60E-01,397,6.50E-02,373,1.50E-01,350
GOTERM_BP_5,regulation of GTPase activity,1.20E-02,72,1.60E-01,64,1.70E-02,80,3.20E-01,54,3.80E-01,68,8.50E-02,68,6.40E-02,66
GOTERM_BP_5,positive regulation of signal transduction,6.40E-01,138,5.70E-01,137,3.20E-01,166,1.80E-01,129,5.50E-01,156,2.00E-01,150,6.00E-01,134
GOTERM_BP_5,glucose metabolic process,2.70E-04,95,1.20E-04,95,1.30E-03,103,1.20E-04,86,3.10E-04,103,1.00E-02,89,3.70E-04,92
GOTERM_BP_5,muscle organ development,8.40E-01,94,5.20E-01,99,7.70E-01,111,5.10E-01,87,1.30E-01,121,2.70E-01,107,8.90E-01,89
GOTERM_BP_5,in utero embryonic development,4.80E-01,85,2.80E-01,87,2.60E-02,110,6.80E-01,70,2.90E-01,98,8.20E-02,95,2.60E-01,86
