Subsystems in HMR 2.0 database,HMRdatabase2_00,Generic HCC,patient 2177,patient 2280,patient 2556,patient 2766,patient 3196,patient 3477
Acyl-CoA hydrolysis,64,61,61,61,61,61,61,61
Acylglycerides metabolism,21,19,19,19,19,19,19,20
"Alanine, aspartate and glutamate metabolism",39,28,30,30,31,29,29,29
Amino sugar and nucleotide sugar metabolism,38,16,16,20,14,22,20,18
Aminoacyl-tRNA biosynthesis,21,20,20,20,20,20,20,20
Androgen metabolism,31,17,16,22,17,19,17,18
Arachidonic acid metabolism,117,106,106,106,106,106,106,99
Arginine and proline metabolism,98,76,76,75,54,76,77,75
Artificial reactions,11,6,6,6,6,6,6,6
Ascorbate and aldarate metabolism,15,1,1,1,1,1,1,1
Beta oxidation of branched-chain fatty acids (mitochondrial),13,13,13,13,13,13,13,13
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),19,19,19,19,19,19,19,19
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal),19,19,19,19,19,19,19,19
Beta oxidation of even-chain fatty acids (mitochondrial),59,59,59,59,59,59,59,59
Beta oxidation of even-chain fatty acids (peroxisomal),50,48,48,48,48,48,48,48
Beta oxidation of odd-chain fatty acids (mitochondrial),38,37,37,37,37,37,37,37
Beta oxidation of odd-chain fatty acids (peroxisomal),1,1,1,1,1,1,1,1
Beta oxidation of phytanic acid (peroxisomal),21,19,19,19,19,19,19,19
Beta oxidation of poly-unsaturated fatty acids (mitochondrial),22,22,22,22,22,22,22,22
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),25,25,25,25,25,25,25,25
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),21,21,21,21,21,21,21,21
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),38,38,38,38,38,38,38,38
beta-Alanine metabolism,13,11,11,11,11,10,11,12
Bile acid biosynthesis,143,95,96,95,96,96,94,82
Bile acid recycling,33,26,26,26,26,32,5,32
Biopterin metabolism,26,24,24,24,24,25,25,24
Biotin metabolism,9,6,6,6,6,6,6,6
Blood group biosynthesis,46,7,5,17,15,9,9,7
Butanoate metabolism,9,5,5,5,5,5,5,5
C5-branched dibasic acid metabolism,8,4,4,4,4,4,4,4
Carnitine shuttle (cytosolic),57,56,56,56,56,56,56,56
Carnitine shuttle (endoplasmic reticular),131,75,75,74,76,74,76,76
Carnitine shuttle (mitochondrial),112,110,110,110,110,110,110,110
Carnitine shuttle (peroxisomal),8,7,7,8,7,8,7,8
Cholesterol biosynthesis 1 (Bloch pathway),27,27,27,27,27,27,27,27
Cholesterol biosynthesis 2,4,3,3,3,3,3,3,3
Cholesterol biosynthesis 3  (Kandustch-Russell pathway),16,16,16,16,16,16,16,16
Cholesterol metabolism,10,8,8,8,8,8,8,8
Chondroitin / heparan sulfate biosynthesis,45,36,36,42,36,36,37,38
Chondroitin sulfate degradation,44,40,40,40,28,40,40,40
Cysteine and methionine metabolism,41,26,27,26,26,28,25,27
Eicosanoid metabolism,15,8,8,6,6,8,8,6
Estrogen metabolism,66,58,51,58,58,58,51,57
Ether lipid metabolism,15,7,7,7,5,7,7,7
Exchange reactions,462,250,256,264,247,254,255,256
Fatty acid activation (cytosolic),67,67,67,67,67,67,67,67
Fatty acid activation (endoplasmic reticular),55,55,55,55,55,55,55,55
Fatty acid biosynthesis (even-chain),30,30,30,30,29,30,30,30
Fatty acid biosynthesis (odd-chain),29,29,29,29,29,29,29,29
Fatty acid biosynthesis (unsaturated),32,24,24,24,32,32,24,24
Fatty acid desaturation (even-chain),12,12,12,12,11,12,12,12
Fatty acid desaturation (odd-chain),2,2,2,2,2,2,2,2
Fatty acid elongation (even-chain),20,15,15,15,20,20,15,15
Fatty acid elongation (odd-chain),12,9,9,9,12,12,9,9
Fatty acid transfer reactions,9,9,9,9,9,9,9,9
Folate metabolism,65,50,51,51,46,49,45,50
Formation and hydrolysis of cholesterol esters,179,127,127,127,127,127,127,127
