"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"1961","ENSG00000002746","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"3792","ENSG00000004487","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"15040","ENSG00000008196","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"16459","ENSG00000008517","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"17255","ENSG00000009413","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"19966","ENSG00000010810","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"20203","ENSG00000011007","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"22589","ENSG00000011638","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"26178","ENSG00000015133","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"28437","ENSG00000018610","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"32730","ENSG00000025293","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"38503","ENSG00000036054","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"38583","ENSG00000036257","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"39686","ENSG00000038002","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"42088","ENSG00000041802","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"43300","ENSG00000043514","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"43622","ENSG00000044446","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"43779","ENSG00000044524","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"44422","ENSG00000047056","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"46742","ENSG00000048544","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"47059","ENSG00000048828","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"51904","ENSG00000053918","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"52777","ENSG00000054523","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"53406","ENSG00000054983","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"55381","ENSG00000056998","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"56638","ENSG00000058091","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"57837","ENSG00000059378","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"60605","ENSG00000061987","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"61407","ENSG00000062650","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"66649","ENSG00000065268","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"70684","ENSG00000066468","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"73229","ENSG00000067369","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"80252","ENSG00000070193","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"81752","ENSG00000070756","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"83998","ENSG00000071564","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"84077","ENSG00000071575","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"94351","ENSG00000075303","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"102107","ENSG00000077935","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"102898","ENSG00000078140","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"104805","ENSG00000078795","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"112504","ENSG00000081818","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"114350","ENSG00000082515","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"115937","ENSG00000083454","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"126206","ENSG00000087245","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"132727","ENSG00000089163","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"135178","ENSG00000089902","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"137000","ENSG00000090520","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"138832","ENSG00000090989","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"145040","ENSG00000093072","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"149194","ENSG00000096063","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"150151","ENSG00000096872","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"154145","ENSG00000099899","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"156615","ENSG00000100030","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"160763","ENSG00000100227","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"162727","ENSG00000100302","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"166240","ENSG00000100412","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"166637","ENSG00000100422","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"171078","ENSG00000100629","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"175750","ENSG00000101049","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"177760","ENSG00000101191","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"179119","ENSG00000101247","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"179588","ENSG00000101280","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"182602","ENSG00000101442","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"183957","ENSG00000101544","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"184268","ENSG00000101574","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"193789","ENSG00000102572","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"195939","ENSG00000102882","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"200246","ENSG00000103197","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"202870","ENSG00000103415","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"203269","ENSG00000103460","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"205817","ENSG00000103852","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"206060","ENSG00000103888","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"207008","ENSG00000104064","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"207087","ENSG00000104067","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"209636","ENSG00000104368","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"212264","ENSG00000104714","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"220758","ENSG00000105325","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"221953","ENSG00000105392","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"222838","ENSG00000105443","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"222994","ENSG00000105464","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"227914","ENSG00000105755","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"228852","ENSG00000105829","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"230378","ENSG00000105948","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"231020","ENSG00000105976","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"233175","ENSG00000106105","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"238634","ENSG00000106624","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"241821","ENSG00000107104","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"244379","ENSG00000107518","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"246445","ENSG00000107779","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"248679","ENSG00000107984","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"251936","ENSG00000108405","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"257586","ENSG00000108932","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"257743","ENSG00000108947","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"260148","ENSG00000109193","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"263504","ENSG00000109738","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"267479","ENSG00000110108","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"273835","ENSG00000111077","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"275731","ENSG00000111266","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"277557","ENSG00000111432","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"280163","ENSG00000111700","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"282993","ENSG00000111880","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"283875","ENSG00000111981","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"293722","ENSG00000112984","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"309329","ENSG00000115041","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"309569","ENSG00000115084","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"310445","ENSG00000115159","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"312573","ENSG00000115297","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"313286","ENSG00000115361","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"313843","ENSG00000115392","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"317756","ENSG00000115694","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"322704","ENSG00000116194","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"325883","ENSG00000116649","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"329469","ENSG00000116957","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"332419","ENSG00000117289","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"333941","ENSG00000117448","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"336249","ENSG00000117614","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"337756","ENSG00000117859","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"338644","ENSG00000118046","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"340159","ENSG00000118271","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"342150","ENSG00000118518","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"345021","ENSG00000119125","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"345585","ENSG00000119280","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"345742","ENSG00000119285","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"348826","ENSG00000119636","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"360848","ENSG00000120833","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"360928","ENSG00000120837","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"363061","ENSG00000121075","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"372764","ENSG00000122548","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"375156","ENSG00000122787","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"383216","ENSG00000123933","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"385689","ENSG00000124181","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"389017","ENSG00000124374","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"391403","ENSG00000124570","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"393164","ENSG00000124713","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"396929","ENSG00000125266","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"400169","ENSG00000125633","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"400328","ENSG00000125648","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"403654","ENSG00000125843","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"405715","ENSG00000125945","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"406675","ENSG00000125998","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"412083","ENSG00000126804","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"413998","ENSG00000127080","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"414793","ENSG00000127241","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"423678","ENSG00000128594","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"426040","ENSG00000128917","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"426357","ENSG00000128944","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"427632","ENSG00000129151","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"428513","ENSG00000129219","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"431203","ENSG00000129534","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"435088","ENSG00000130066","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"437634","ENSG00000130303","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"437706","ENSG00000130304","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"438737","ENSG00000130363","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"453655","ENSG00000131634","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"453965","ENSG00000131669","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"454933","ENSG00000131747","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"462866","ENSG00000132514","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"466710","ENSG00000132780","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"469262","ENSG00000132975","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"476040","ENSG00000133808","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"484317","ENSG00000134480","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"484794","ENSG00000134538","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"493244","ENSG00000135248","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"498118","ENSG00000135587","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"498508","ENSG00000135617","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"500108","ENSG00000135740","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"501721","ENSG00000135862","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"502423","ENSG00000135917","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"503369","ENSG00000135956","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"506649","ENSG00000136159","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"507360","ENSG00000136213","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"507520","ENSG00000136235","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"511654","ENSG00000136536","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"513508","ENSG00000136709","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"514463","ENSG00000136807","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"515260","ENSG00000136842","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"517489","ENSG00000136932","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"519638","ENSG00000137090","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"522610","ENSG00000137274","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"523720","ENSG00000137413","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"524757","ENSG00000137500","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"533248","ENSG00000138078","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"533489","ENSG00000138081","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"536023","ENSG00000138297","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"536177","ENSG00000138308","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"540150","ENSG00000138640","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"542293","ENSG00000138756","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"543480","ENSG00000138792","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"544435","ENSG00000138834","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"545861","ENSG00000139160","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"561856","ENSG00000140743","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"563901","ENSG00000140955","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"565012","ENSG00000141027","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"565804","ENSG00000141098","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"566512","ENSG00000141200","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"568111","ENSG00000141385","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"569461","ENSG00000141469","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"575499","ENSG00000142168","liver","hepatocytes","High","APE","Supportive","Low","Low","Low","Low"
"576762","ENSG00000142319","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"581674","ENSG00000142875","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"582707","ENSG00000143028","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"583100","ENSG00000143079","liver","hepatocytes","Low","APE","Uncertain","High","High","High","High"
"592761","ENSG00000143643","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"595545","ENSG00000143921","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"597542","ENSG00000144061","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"611339","ENSG00000145506","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"613949","ENSG00000145808","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"624675","ENSG00000147036","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"627988","ENSG00000147316","liver","hepatocytes","Low","APE","Supportive","High","High","High","High"
"630443","ENSG00000147576","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
"639489","ENSG00000148702","liver","hepatocytes","High","APE","Uncertain","Low","Low","Low","Low"
