"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"38","ENSG00000000003","liver","hepatocytes","Not detected","APE","Supportive","Present","Present","Present","Present"
"118","ENSG00000000005","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"199","ENSG00000000419","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"276","ENSG00000000457","liver","hepatocytes","Not detected","APE","Supportive","Not detected",NA,NA,NA
"354","ENSG00000000460","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"432","ENSG00000000938","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"512","ENSG00000000971","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected",NA
"594","ENSG00000001036","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"676","ENSG00000001084","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"757","ENSG00000001167","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"838","ENSG00000001461","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"915","ENSG00000001497","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"995","ENSG00000001561","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1075","ENSG00000001617","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1156","ENSG00000001626","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected",NA
"1236","ENSG00000001629","liver","hepatocytes","Present","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1315","ENSG00000001630","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1396","ENSG00000001631","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1476","ENSG00000002330","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"1558","ENSG00000002549","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"1639","ENSG00000002586","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected",NA,NA
"1721","ENSG00000002587","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1801","ENSG00000002726","liver","hepatocytes","Not detected","APE","Supportive","Not detected",NA,NA,NA
"1882","ENSG00000002745","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1961","ENSG00000002746","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"2040","ENSG00000002822","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"2120","ENSG00000002834","liver","hepatocytes","Present","APE","Supportive","Not detected",NA,NA,NA
"2201","ENSG00000002919","liver","hepatocytes","Not detected","APE","Uncertain","Present","Present","Present","Present"
"2281","ENSG00000002933","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"2359","ENSG00000003056","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"2439","ENSG00000003096","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"2518","ENSG00000003137","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"2597","ENSG00000003147","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"2673","ENSG00000003249","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"2752","ENSG00000003393","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"2830","ENSG00000003400","liver","hepatocytes","Not detected","APE","Supportive","Present","Present",NA,NA
"2912","ENSG00000003402","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"2992","ENSG00000003436","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected",NA,NA
"3074","ENSG00000003509","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"3151","ENSG00000003756","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"3230","ENSG00000003987","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"3310","ENSG00000003989","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"3390","ENSG00000004139","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"3469","ENSG00000004399","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"3550","ENSG00000004455","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"3632","ENSG00000004468","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"3713","ENSG00000004478","liver","hepatocytes","Present","APE","Supportive","Present",NA,NA,NA
"3792","ENSG00000004487","liver","hepatocytes","Present","APE","Supportive","Not detected",NA,NA,NA
"3870","ENSG00000004534","liver","hepatocytes","Present","APE","Supportive","Present",NA,NA,NA
"3951","ENSG00000004660","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"4032","ENSG00000004700","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"4110","ENSG00000004766","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"4189","ENSG00000004776","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"4270","ENSG00000004777","liver","hepatocytes","Present","APE","Supportive","Present",NA,NA,NA
"4350","ENSG00000004779","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"4429","ENSG00000004799","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"4511","ENSG00000004809","liver","hepatocytes","Present","APE","Supportive","Present",NA,NA,NA
"4592","ENSG00000004838","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"4673","ENSG00000004846","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"4753","ENSG00000004864","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"4833","ENSG00000004866","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"4912","ENSG00000004897","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"4989","ENSG00000004939","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"5067","ENSG00000004948","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"5147","ENSG00000004961","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"5223","ENSG00000004975","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"5304","ENSG00000005001","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"5385","ENSG00000005007","liver","hepatocytes","Present","APE","Supportive","Not detected","Not detected",NA,NA
"5467","ENSG00000005020","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"5547","ENSG00000005022","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"5628","ENSG00000005059","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"5709","ENSG00000005073","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected",NA,NA
"5788","ENSG00000005075","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"5868","ENSG00000005102","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"5947","ENSG00000005108","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"6025","ENSG00000005156","liver","hepatocytes","Not detected","APE","Supportive","Present",NA,NA,NA
"6105","ENSG00000005175","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"6184","ENSG00000005187","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"6262","ENSG00000005189","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected",NA,NA
"6342","ENSG00000005194","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected",NA,NA
"6421","ENSG00000005238","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"6500","ENSG00000005243","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"6580","ENSG00000005249","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected",NA,NA
"6654","ENSG00000005302","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"6736","ENSG00000005339","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"6815","ENSG00000005379","liver","hepatocytes","Present","APE","Supportive","Not detected",NA,NA,NA
"6897","ENSG00000005381","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"6979","ENSG00000005421","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"7056","ENSG00000005448","liver","hepatocytes","Present","APE","Supportive","Not detected","Not detected",NA,NA
"7138","ENSG00000005469","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"7219","ENSG00000005471","liver","hepatocytes","Present","APE","Supportive","Present",NA,NA,NA
"7301","ENSG00000005483","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"7382","ENSG00000005486","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"7459","ENSG00000005513","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"7537","ENSG00000005700","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"7617","ENSG00000005801","liver","hepatocytes","Not detected","APE","Uncertain","Present","Present","Present","Present"
"7696","ENSG00000005810","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"7776","ENSG00000005812","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"7857","ENSG00000005844","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"7939","ENSG00000005882","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"8016","ENSG00000005884","liver","hepatocytes","Present","APE","Supportive","Not detected",NA,NA,NA
"8096","ENSG00000005889","liver","hepatocytes","Present","APE","Supportive","Present",NA,NA,NA
"8176","ENSG00000005893","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"8257","ENSG00000005955","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
