Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_5	GO:0010564~regulation of cell cycle process	11	1.6717325227963524	0.005702948680607752	ENSG00000138798, ENSG00000127616, ENSG00000105325, ENSG00000134318, ENSG00000100462, ENSG00000158402, ENSG00000099985, ENSG00000128342, ENSG00000097046, ENSG00000132323, ENSG00000137804	422	114	12292	2.8105928327928824	0.9990620306459203	0.9990620306459203	8.848060054594232
GOTERM_BP_5	GO:0040020~regulation of meiosis	3	0.4559270516717325	0.035920252507992884	ENSG00000105325, ENSG00000099985, ENSG00000128342	422	9	12292	9.709320695102685	1.0	0.9999999997925808	44.70864821624277
GOTERM_BP_5	GO:0007628~adult walking behavior	4	0.60790273556231	0.03790117027528251	ENSG00000108947, ENSG00000109738, ENSG00000116106, ENSG00000156113	422	22	12292	5.2959931064196475	1.0	0.9999998480854984	46.52045385145489
GOTERM_BP_5	GO:0051048~negative regulation of secretion	6	0.911854103343465	0.03947445076989299	ENSG00000138798, ENSG00000099985, ENSG00000128342, ENSG00000053918, ENSG00000118137, ENSG00000196839	422	55	12292	3.1775958638517876	1.0	0.9999953270218578	47.91957286909751
GOTERM_BP_5	GO:0009112~nucleobase metabolic process	4	0.60790273556231	0.042511948804781846	ENSG00000158825, ENSG00000116748, ENSG00000133805, ENSG00000196839	422	23	12292	5.0657325365753145	1.0	0.9999748629740969	50.52419676123239
GOTERM_BP_5	GO:0042058~regulation of epidermal growth factor receptor signaling pathway	4	0.60790273556231	0.042511948804781846	ENSG00000138798, ENSG00000071051, ENSG00000115904, ENSG00000142949	422	23	12292	5.0657325365753145	1.0	0.9999748629740969	50.52419676123239
GOTERM_BP_5	GO:0051445~regulation of meiotic cell cycle	3	0.4559270516717325	0.043900430246703044	ENSG00000105325, ENSG00000099985, ENSG00000128342	422	10	12292	8.738388625592416	1.0	0.9998906334680385	51.673644571932854
GOTERM_BP_5	GO:0043487~regulation of RNA stability	4	0.60790273556231	0.0473898009831646	ENSG00000066044, ENSG00000138668, ENSG00000028137, ENSG00000162889	422	24	12292	4.854660347551343	1.0	0.9997870697446917	54.452677097179716
GOTERM_BP_5	GO:0006886~intracellular protein transport	20	3.0395136778115504	0.05545231757200467	ENSG00000112357, ENSG00000163479, ENSG00000105401, ENSG00000125814, ENSG00000185359, ENSG00000019582, ENSG00000166900, ENSG00000175416, ENSG00000116237, ENSG00000006125, ENSG00000213672, ENSG00000166922, ENSG00000138297, ENSG00000196961, ENSG00000132646, ENSG00000100284, ENSG00000162236, ENSG00000100083, ENSG00000104915, ENSG00000141232	422	374	12292	1.557645031299896	1.0	0.9998322201718941	60.311061904073405
GOTERM_BP_5	GO:0010608~posttranscriptional regulation of gene expression	13	1.9756838905775076	0.05933134447943504	ENSG00000066044, ENSG00000136231, ENSG00000089195, ENSG00000118137, ENSG00000163412, ENSG00000129460, ENSG00000135930, ENSG00000071051, ENSG00000015133, ENSG00000028137, ENSG00000138668, ENSG00000162889, ENSG00000198843	422	211	12292	1.7946137777677948	1.0	0.9997475677013002	62.87045033243491
GOTERM_BP_5	GO:0045835~negative regulation of meiosis	2	0.303951367781155	0.06732947151102617	ENSG00000099985, ENSG00000128342	422	2	12292	29.12796208530806	1.0	0.9997958853747669	67.66672817310129
